trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,correct
152,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",152,1,False,False,False,True,True
153,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 2)",153,1,False,False,True,False,False
154,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",154,1,False,False,False,True,True
155,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",155,1,True,False,False,True,True
156,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",156,1,False,False,False,True,True
157,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",157,1,False,False,False,True,True
158,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(1, 3)",158,1,False,False,False,True,True
159,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",159,1,False,False,False,True,True
160,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",160,1,False,False,True,False,False
161,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",161,1,False,False,False,True,True
162,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",162,1,False,False,False,True,True
163,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",163,1,True,False,False,True,True
164,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",164,1,True,False,False,True,True
165,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,0,"(1, 2)",165,1,True,False,False,True,True
166,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(0, 3)",166,1,False,False,False,True,True
167,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 2)",167,0,False,True,True,False,True
168,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 3)",168,0,True,False,True,False,True
169,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",169,0,False,False,True,False,True
170,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(1, 3)",170,1,False,True,False,True,True
171,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",171,1,False,False,False,True,True
172,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(1, 3)",172,1,False,False,False,True,True
173,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 2)",173,1,False,False,True,False,False
174,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 3)",174,1,False,False,True,False,False
175,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 2)",175,0,False,True,True,False,True
176,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 3)",176,0,False,False,True,False,True
177,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",177,0,False,False,False,True,False
178,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 2)",178,0,False,False,True,False,True
179,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 2)",179,0,False,False,True,False,True
180,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",180,1,False,True,True,False,False
181,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",181,1,True,False,True,False,False
182,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,3,0.5,0,"(0, 3)",182,1,False,False,False,True,True
183,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",183,1,True,False,False,True,True
184,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",184,0,False,True,False,True,False
