trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient
144,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 1)",144,0,True,False,True,False
145,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 1)",145,0,False,False,True,True
146,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 0)",146,0,True,False,True,False
147,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,0,0.5,1,"(0, 0)",147,1,False,True,True,True
148,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,1,"(0, 0)",148,1,True,False,True,True
149,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 1)",149,1,True,False,True,False
150,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 0)",150,1,True,False,True,True
151,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5,1,"(1, 1)",151,1,False,False,True,True
152,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5,1,"(1, 0)",152,1,True,False,True,False
153,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 1)",153,0,True,True,True,True
154,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,0,"(0, 0)",154,0,False,False,True,True
155,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,0,"(1, 0)",155,0,False,False,True,False
156,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 1)",156,0,False,False,True,False
157,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 1)",157,0,False,False,True,True
158,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 0)",158,0,False,False,True,True
159,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,0,"(1, 0)",159,0,False,False,True,False
160,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 1)",160,0,False,False,True,False
161,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,0,"(1, 1)",161,0,False,False,True,True
162,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 0)",162,0,False,False,True,True
163,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 1)",163,0,False,False,True,True
164,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 1)",164,0,False,False,True,False
165,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 0)",165,0,True,False,True,True
166,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,0,"(1, 0)",166,0,False,False,True,False
167,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 1)",167,0,False,False,True,False
168,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 0)",168,0,False,False,True,False
169,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 1)",169,0,True,False,True,True
170,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.5,0,0.5,0,"(0, 1)",170,0,False,False,True,False
171,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 1)",171,0,True,False,True,False
172,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,0,"(1, 0)",172,0,False,False,True,False
173,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 0)",173,0,False,False,True,True
174,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 0)",174,0,True,False,True,True
175,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 1)",175,0,True,False,True,False
176,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 0)",176,0,False,False,True,False
177,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.5,0,"(1, 0)",177,0,True,False,True,False
178,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,0,0.5,1,"(0, 1)",178,1,False,True,True,False
179,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 1)",179,1,True,False,True,False
180,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,1,"(1, 1)",180,1,False,False,True,True
181,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 0)",181,0,False,True,True,True
182,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 0)",182,0,True,False,True,True
183,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 1)",183,0,False,False,True,True
184,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 1)",184,0,False,False,True,False
185,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 1)",185,0,True,False,True,False
186,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,0,"(0, 0)",186,0,True,False,True,True
187,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 1)",187,0,True,False,True,False
188,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.5,0,"(0, 1)",188,0,True,False,True,False
189,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 1)",189,0,True,False,True,False
190,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,0,"(0, 1)",190,0,True,False,True,False
191,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,0,"(0, 0)",191,0,True,False,True,True
192,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,0,"(1, 0)",192,0,False,False,True,False
193,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 1)",193,0,False,False,True,False
194,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 1)",194,0,False,False,True,True
195,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,0,"(1, 0)",195,0,True,False,True,False
196,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 0)",196,0,False,False,True,True
197,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 1)",197,1,True,True,True,False
198,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.5,1,"(1, 1)",198,1,False,False,True,True
199,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.5,1,"(0, 1)",199,1,False,False,True,False
200,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,1,"(1, 0)",200,1,False,False,True,False
201,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 0)",201,1,True,False,True,False
202,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 1)",202,1,False,False,True,False
203,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 0)",203,1,False,False,True,False
204,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.5,1,"(1, 0)",204,1,True,False,True,False
205,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 0)",205,1,False,False,True,True
