trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,con_ts,con_stim,curr_ts,switch
92,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.24989476011885597, -0.24989476011885597, -0.24989476011885597]",1,0.5069342681672424,1,1,92,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,True
93,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.302593443804753, -0.302593443804753, -0.302593443804753]",1,0.5023234706604853,1,1,93,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
94,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.002346957261353033, 0.002346957261353033, 0.002346957261353033]",0,0.5019673865754157,1,0,94,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
95,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.052571398299942174, 0.052571398299942174, 0.052571398299942174]",0,0.5023939735256135,1,0,95,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
96,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.23457350582096864, -0.23457350582096864, -0.23457350582096864]",0,0.5019785421900451,1,0,96,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
97,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.3453529011311147, 0.3453529011311147, 0.3453529011311147]",2,0.501381945097819,1,0,97,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,True
98,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.44928541366369046, 0.44928541366369046, 0.44928541366369046]",3,0.5024952655658126,1,1,98,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
99,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.4798928140098969, 0.4798928140098969, 0.4798928140098969]",2,0.5021664010128006,1,0,99,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
100,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.47176766891377747, -0.47176766891377747, -0.47176766891377747]",0,0.5022382424212992,1,0,100,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,True
101,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.4209827128888304, 0.4209827128888304, 0.4209827128888304]",2,0.5021882657893002,1,0,101,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,True
102,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.4355651963837065, 0.4355651963837065, 0.4355651963837065]",3,0.5021704169921577,1,1,102,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
103,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.1901032109297563, 0.1901032109297563, 0.1901032109297563]",2,0.5023154387017712,1,0,103,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
104,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.21118566437610173, 0.21118566437610173, 0.21118566437610173]",3,0.50202048686333,1,1,104,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
105,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.506182477865485, -0.506182477865485, -0.506182477865485]",0,0.5022873268462718,0,0,105,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,True
106,0,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.39304445988826203, 0.39304445988826203, 0.39304445988826203]",3,0.5027928947238252,0,1,106,"[[1, 0, 0, 0], [0, 1, 0, 0]]",False,True,1,True
