trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct,ts0_posterior_ignore,ts0_posterior_single,ts0_posterior_optimal,smoothed_ts0_ignore,smoothed_ts0_single,smoothed_ts0_optimal,smoothed_context
42,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,0,0.48291707038879395,1,"(0, 2)",42,0,False,False,True,False,False,True,0.018993448657483984,0.002146624791058985,0.0024481660331835847,0.07236625909698824,0.009266305939600525,0.010947897855643473,0.6844933788018281
43,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5907998085021973,1,"(0, 2)",43,0,True,False,True,False,False,True,0.21168000944053236,0.028971227448835405,0.029584366735669203,0.14202313426877614,0.019118766694220204,0.020266132295658455,0.49224668940087035
44,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.6512389183044434,1,"(0, 2)",44,0,True,False,True,False,False,True,0.39215181336301785,0.06688830997225197,0.08344569572578442,0.2670874738159112,0.043003538333238805,0.051855914010725035,0.2961233447004129
45,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.4775810241699219,1,"(0, 2)",45,0,True,False,True,False,False,True,0.39215181336301785,0.06688830997225197,0.11434908445022099,0.3296196435894681,0.05494592415274606,0.08310249923047477,0.19806167235020095
46,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.7634718418121338,1,"(1, 3)",46,0,False,False,True,False,False,True,0.018993448657483984,0.002146624791058985,0.004564316179889804,0.1743065461234716,0.02854627447190177,0.04383340770518118,0.5490308361751105
47,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.5260319709777832,1,"(1, 3)",47,0,True,False,True,False,False,True,0.044449546858264494,0.005142002709015806,0.005350351614817675,0.10937804649086713,0.01684413859045862,0.024591879659999153,0.6245154180875563
48,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5716371536254883,1,"(0, 3)",48,0,False,False,True,False,False,True,0.39215181336301785,0.06688830997225197,0.06986133180421131,0.2507649299269435,0.041866224281355474,0.04722660573210539,0.3622577090437763
49,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5418169498443604,1,"(0, 3)",49,0,True,False,True,False,False,True,0.21168000944053236,0.028971227448835405,0.04724695035499747,0.23122246968373789,0.03541872586509542,0.04723677804355143,0.33112885452188806
50,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5804641246795654,1,"(0, 3)",50,0,True,False,True,False,False,True,0.6078481866369821,0.14692208625455871,0.19854256965275496,0.4195353281603603,0.09117040605982717,0.12288967384815333,0.11556442726094361
51,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.5,2,0.9213800430297852,1,"(1, 2)",51,0,False,False,False,True,True,False,0.8994728084538944,0.498539002263731,0.7575590234478445,0.6595040683071276,0.2948547041617793,0.4402243486479992,-0.19221778636952846
52,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.9592909812927246,1,"(0, 2)",52,0,True,False,False,True,False,False,0.21168000944053236,0.028971227448835405,0.39208286568627304,0.43559203887382986,0.16191296580530729,0.41615360716713606,0.053891106815235894
53,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.9507009983062744,1,"(0, 3)",53,0,True,False,False,False,False,False,0.10052719154610551,0.012265722271562569,0.07308694078497609,0.2680596152099676,0.0870893440384349,0.24462027397605604,0.276945553407618
54,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5862109661102295,1,"(0, 3)",54,0,True,False,False,False,False,False,0.6078481866369821,0.14692208625455871,0.22593935452328245,0.4379539009234749,0.11700571514649681,0.23527981424966923,0.08847277670380894
55,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.42326903343200684,1,"(0, 2)",55,0,True,False,False,True,False,False,0.6078481866369821,0.14692208625455871,0.37696251149126714,0.5229010437802285,0.13196390070052777,0.3061211628704682,-0.005763611648095579
56,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.8337390422821045,0,"(0, 3)",56,1,True,True,False,False,False,False,0.21168000944053236,0.028971227448835405,0.1526771799282195,0.3672905266103804,0.08046756407468159,0.22939917139934385,0.14711819417595223
57,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,2,0.6043398380279541,0,"(0, 2)",57,1,True,False,False,True,False,True,0.9555504531417355,0.7048930425445474,0.8599294521497335,0.661420489876058,0.3926803033096145,0.5446643117745387,-0.27644090291202394
58,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.8858299255371094,0,"(1, 2)",58,1,True,False,False,True,False,True,0.21168000944053236,0.7073185337505506,0.4994364166660303,0.43655024965829514,0.5499994185300826,0.5220503642202845,0.01177954854398805
