trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
129,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.5980110168457031,0,"(1, 2)",129,1,False,False,False,True,False,True
130,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.695775032043457,1,"(0, 2)",130,0,True,True,False,True,False,False
131,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.7911050319671631,1,"(1, 3)",131,0,False,False,True,False,True,True
132,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,1.2067980766296387,1,"(1, 2)",132,0,False,False,False,False,True,False
133,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.8601219654083252,1,"(1, 2)",133,0,False,False,True,False,True,True
134,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.7504608631134033,1,"(1, 3)",134,0,True,False,True,False,False,True
135,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.4178459644317627,1,"(0, 2)",135,0,False,False,True,False,False,True
136,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.9224739074707031,1,"(0, 3)",136,0,True,False,True,False,False,True
137,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5298259258270264,1,"(1, 2)",137,0,False,False,True,False,False,True
138,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.8723981380462646,1,"(1, 2)",138,0,True,False,True,False,False,True
139,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,1.2027490139007568,1,"(1, 3)",139,0,True,False,True,False,False,True
140,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.6384828090667725,0,"(1, 2)",140,1,True,True,True,False,False,False
141,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.6894528865814209,0,"(1, 3)",141,1,True,False,True,False,False,False
142,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.765861988067627,0,"(0, 2)",142,1,False,False,True,False,False,False
143,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.6691970825195312,0,"(0, 3)",143,1,False,False,False,True,True,True
144,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5338928699493408,0,"(0, 2)",144,1,False,False,False,True,False,True
145,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,2,0.5633978843688965,0,"(0, 2)",145,1,True,False,False,True,False,True
146,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.7655148506164551,0,"(1, 3)",146,1,False,False,False,True,False,True
147,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.6160788536071777,0,"(0, 3)",147,1,True,False,False,True,False,True
148,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.48067498207092285,0,"(0, 2)",148,1,False,False,False,True,False,True
149,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.4730660915374756,0,"(0, 3)",149,1,False,False,False,True,False,True
150,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.8807721138000488,0,"(0, 2)",150,1,False,False,False,True,False,True
151,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.775827169418335,0,"(1, 2)",151,1,True,False,False,True,False,True
152,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.48926806449890137,0,"(0, 2)",152,1,True,False,False,True,False,True
153,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.48017001152038574,0,"(0, 2)",153,1,True,False,False,True,False,True
154,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.6771950721740723,1,"(1, 3)",154,0,False,True,False,True,False,False
155,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.7094588279724121,1,"(0, 2)",155,0,False,False,True,False,True,True
156,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5748658180236816,1,"(1, 2)",156,0,False,False,True,False,False,True
157,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5298991203308105,1,"(1, 2)",157,0,True,False,True,False,False,True
158,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.6421909332275391,1,"(1, 2)",158,0,True,False,True,False,False,True
159,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5638298988342285,1,"(1, 2)",159,0,True,False,True,False,False,True
160,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.6685459613800049,1,"(1, 3)",160,0,True,False,True,False,False,True
161,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,0,0.6284239292144775,1,"(0, 3)",161,0,False,False,True,False,False,True
162,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.47773098945617676,1,"(0, 2)",162,0,True,False,True,False,False,True
163,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,1,0.5310869216918945,1,"(1, 3)",163,0,False,False,True,False,False,True
