trial_count,FBDuration,actualFBOnsetTime,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
81,0.5,0.5010879039764404,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.2939920425415039,0,"(0, 2)",81,0,True,False,False,False,True,False
82,0.5,0.5011119842529297,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.3355600833892822,0,"(0, 3)",82,0,True,False,False,False,False,False
83,0.5,0.5011420249938965,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.3744630813598633,0,"(1, 3)",83,0,True,False,True,False,True,True
84,0.5,0.501168966293335,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,0,0.3976168632507324,0,"(1, 2)",84,0,False,False,False,False,True,False
85,0.5,0.5003349781036377,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.4153709411621094,0,"(1, 2)",85,0,False,False,True,False,True,True
86,0.5,0.5012218952178955,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.42289304733276367,0,"(1, 3)",86,0,True,False,True,False,False,True
87,0.5,0.5011711120605469,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.31879496574401855,0,"(1, 2)",87,0,True,False,True,False,False,True
88,0.5,0.5010371208190918,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.3795299530029297,0,"(0, 2)",88,0,False,False,True,False,False,True
89,0.5,0.5010859966278076,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.31312108039855957,0,"(0, 3)",89,0,False,False,False,False,True,False
90,0.5,0.501086950302124,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.3350558280944824,0,"(1, 3)",90,0,True,False,True,False,True,True
91,0.5,0.5002319812774658,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.33890295028686523,0,"(0, 2)",91,0,False,False,True,False,False,True
92,0.5,0.5011868476867676,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.30347108840942383,0,"(0, 3)",92,0,False,False,False,False,True,False
93,0.5,0.5010740756988525,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.347149133682251,1,"(0, 3)",93,1,False,True,True,False,True,False
94,0.5,0.5011379718780518,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.43077611923217773,1,"(0, 2)",94,1,True,False,True,False,False,False
95,0.5,0.5010619163513184,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.4003620147705078,1,"(1, 3)",95,1,False,False,True,False,False,False
96,0.5,0.501136064529419,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,1,0.3711669445037842,1,"(0, 3)",96,1,True,False,False,False,True,False
97,0.5,0.501107931137085,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.32714414596557617,1,"(0, 2)",97,1,True,False,False,False,False,False
98,0.5,0.5012309551239014,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.3377721309661865,1,"(1, 2)",98,1,True,False,True,False,True,False
99,0.5,0.5004699230194092,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.3333570957183838,1,"(1, 3)",99,1,False,False,False,False,True,False
100,0.5,0.5011680126190186,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.611407995223999,1,"(1, 2)",100,1,True,False,False,False,False,False
101,0.5,0.5011060237884521,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.46865391731262207,1,"(1, 3)",101,1,False,False,True,False,True,False
102,0.5,0.5006029605865479,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.2727320194244385,0,"(1, 3)",102,0,True,True,True,False,False,True
103,0.5,0.5011610984802246,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.30513501167297363,0,"(0, 2)",103,0,False,False,True,False,False,True
104,0.5,0.5003001689910889,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.35630011558532715,0,"(0, 3)",104,0,True,False,True,False,False,True
105,0.5,0.5004489421844482,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.45301103591918945,0,"(0, 2)",105,0,False,False,False,False,True,False
106,0.5,0.5011670589447021,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.33681797981262207,0,"(1, 3)",106,0,True,False,True,False,True,True
107,0.5,0.5012550354003906,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.6123878955841064,0,"(1, 3)",107,0,True,False,True,False,False,True
108,0.5,0.5012259483337402,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.33258891105651855,0,"(0, 3)",108,0,False,False,True,False,False,True
109,0.5,0.5003979206085205,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.33851003646850586,0,"(0, 2)",109,0,True,False,True,False,False,True
110,0.5,0.5011179447174072,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.34267616271972656,0,"(1, 2)",110,0,False,False,True,False,False,True
