trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,correct
102,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,1,"(0, 3)",102,1,True,False,False,True,True
103,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,1,"(0, 3)",103,1,True,False,False,True,True
104,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,1,"(1, 3)",104,1,True,False,False,True,True
105,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.5,1,"(0, 2)",105,1,False,False,False,True,True
106,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5,1,"(1, 2)",106,1,True,False,False,True,True
107,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,1,"(1, 2)",107,1,True,False,False,True,True
108,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(1, 2)",108,1,True,False,False,True,True
109,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,1,"(1, 2)",109,1,True,False,False,True,True
110,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,1,"(0, 3)",110,1,False,False,False,True,True
111,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(1, 3)",111,1,True,False,False,True,True
112,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,2,0.5,1,"(0, 2)",112,1,False,False,False,True,True
113,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,1,"(1, 2)",113,1,True,False,False,True,True
114,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 2)",114,0,False,True,True,False,True
115,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 2)",115,0,True,False,True,False,True
116,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,1,"(0, 3)",116,0,False,False,True,False,True
117,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 2)",117,0,False,False,True,False,True
118,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 3)",118,0,True,False,True,False,True
119,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,1,"(0, 3)",119,0,False,False,True,False,True
120,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 3)",120,0,False,False,True,False,True
121,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 2)",121,0,True,False,True,False,True
122,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 3)",122,0,True,False,True,False,True
123,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 3)",123,0,True,False,True,False,True
124,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 2)",124,0,True,False,True,False,True
125,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 3)",125,0,False,False,True,False,True
126,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.5,1,"(1, 2)",126,0,False,False,True,False,True
127,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 2)",127,0,True,False,True,False,True
128,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,1,"(0, 2)",128,0,False,False,True,False,True
129,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,1,"(0, 3)",129,0,True,False,True,False,True
130,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,1,"(0, 2)",130,0,True,False,True,False,True
131,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(1, 3)",131,1,False,True,False,True,True
132,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.5,1,"(0, 2)",132,1,False,False,False,True,True
133,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.5,1,"(0, 3)",133,1,False,False,False,True,True
134,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(1, 2)",134,1,False,False,False,True,True
135,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,1,"(1, 3)",135,1,False,False,False,True,True
136,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,1,"(0, 3)",136,1,True,False,False,True,True
137,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,1,"(1, 3)",137,0,False,True,True,False,True
138,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 2)",138,0,True,False,True,False,True
139,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 3)",139,0,False,False,True,False,True
140,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,1,"(0, 2)",140,0,True,False,True,False,True
141,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,1,"(1, 3)",141,0,False,False,True,False,True
142,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,1,"(1, 3)",142,0,True,False,True,False,True
143,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,1,"(0, 3)",143,0,False,False,False,True,False
144,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,1,"(1, 3)",144,1,True,True,False,True,True
145,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.5,1,"(0, 3)",145,1,True,False,False,True,True
146,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(0, 2)",146,1,False,False,False,True,True
147,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,3,0.5,1,"(1, 3)",147,1,False,False,False,True,True
